epoch,BoxAP,PoseAP
001,0.042,0.000
002,0.145,0.005
003,0.231,0.025
004,0.332,0.066
005,0.398,0.085
006,0.434,0.103
007,0.464,0.132
008,0.481,0.139
009,0.500,0.166
010,0.504,0.177
011,0.519,0.192
012,0.523,0.194
013,0.535,0.207
014,0.548,0.222
015,0.551,0.228
016,0.561,0.243
017,0.565,0.253
018,0.569,0.257
019,0.574,0.266
020,0.579,0.271
021,0.584,0.280
022,0.587,0.284
023,0.590,0.289
024,0.592,0.296
025,0.594,0.301
026,0.596,0.303
027,0.598,0.309
028,0.601,0.312
029,0.601,0.315
030,0.603,0.318
031,0.605,0.320
032,0.607,0.323
033,0.608,0.325
034,0.608,0.327
035,0.609,0.329
036,0.610,0.331
037,0.610,0.331
038,0.612,0.333
039,0.612,0.335
040,0.613,0.336
041,0.613,0.337
042,0.614,0.339
043,0.615,0.340
044,0.615,0.341
045,0.615,0.341
046,0.616,0.342
047,0.616,0.342
048,0.617,0.344
049,0.617,0.345
050,0.617,0.346
051,0.618,0.347
052,0.618,0.347
053,0.618,0.347
054,0.618,0.348
055,0.619,0.348
056,0.619,0.349
057,0.620,0.349
058,0.620,0.349
059,0.620,0.350
060,0.621,0.351
061,0.621,0.351
062,0.621,0.352
063,0.621,0.352
064,0.621,0.353
065,0.622,0.353
066,0.622,0.354
067,0.622,0.354
068,0.623,0.355
069,0.623,0.355
070,0.623,0.356
071,0.624,0.356
072,0.624,0.356
073,0.624,0.357
074,0.624,0.358
075,0.625,0.359
076,0.625,0.360
077,0.626,0.360
078,0.626,0.361
079,0.626,0.362
080,0.626,0.363
081,0.627,0.363
082,0.626,0.364
083,0.627,0.365
084,0.627,0.365
085,0.627,0.366
086,0.628,0.367
087,0.628,0.367
088,0.629,0.368
089,0.629,0.368
090,0.629,0.369
091,0.629,0.369
092,0.629,0.369
093,0.629,0.370
094,0.629,0.371
095,0.629,0.371
096,0.630,0.372
097,0.630,0.372
098,0.630,0.373
099,0.630,0.374
100,0.631,0.375
101,0.631,0.375
102,0.631,0.375
103,0.631,0.376
104,0.632,0.377
105,0.632,0.377
106,0.632,0.378
107,0.632,0.378
108,0.632,0.379
109,0.632,0.380
110,0.633,0.380
111,0.633,0.381
112,0.634,0.382
113,0.634,0.382
114,0.634,0.383
115,0.634,0.383
116,0.635,0.384
117,0.636,0.385
118,0.636,0.385
119,0.636,0.386
120,0.637,0.386
121,0.637,0.387
122,0.638,0.388
123,0.638,0.388
124,0.638,0.389
125,0.638,0.389
126,0.639,0.391
127,0.639,0.391
128,0.639,0.392
129,0.639,0.392
130,0.639,0.392
131,0.640,0.393
132,0.640,0.394
133,0.640,0.394
134,0.641,0.395
135,0.641,0.396
136,0.642,0.397
137,0.642,0.398
138,0.642,0.399
139,0.642,0.400
140,0.642,0.400
141,0.642,0.401
142,0.643,0.401
143,0.643,0.401
144,0.643,0.402
145,0.643,0.403
146,0.644,0.403
147,0.644,0.404
148,0.643,0.404
149,0.644,0.405
150,0.644,0.405
151,0.644,0.406
152,0.644,0.406
153,0.644,0.407
154,0.644,0.407
155,0.645,0.408
156,0.645,0.408
157,0.645,0.407
158,0.645,0.408
159,0.645,0.409
160,0.645,0.409
161,0.646,0.409
162,0.646,0.410
163,0.646,0.410
164,0.646,0.410
165,0.646,0.410
166,0.646,0.411
167,0.646,0.411
168,0.646,0.412
169,0.646,0.413
170,0.646,0.413
171,0.646,0.414
172,0.647,0.415
173,0.647,0.415
174,0.647,0.415
175,0.647,0.415
176,0.647,0.416
177,0.647,0.417
178,0.648,0.417
179,0.648,0.417
180,0.649,0.418
181,0.649,0.417
182,0.649,0.418
183,0.649,0.418
184,0.649,0.418
185,0.649,0.418
186,0.649,0.418
187,0.649,0.419
188,0.649,0.420
189,0.649,0.420
190,0.649,0.420
191,0.649,0.420
192,0.649,0.421
193,0.649,0.421
194,0.649,0.422
195,0.649,0.421
196,0.650,0.422
197,0.650,0.422
198,0.650,0.422
199,0.650,0.422
200,0.650,0.422
201,0.650,0.422
202,0.651,0.423
203,0.650,0.423
204,0.650,0.424
205,0.650,0.423
206,0.650,0.424
207,0.651,0.424
208,0.651,0.424
209,0.651,0.425
210,0.651,0.424
211,0.651,0.425
212,0.651,0.425
213,0.651,0.426
214,0.651,0.426
215,0.651,0.426
216,0.652,0.426
217,0.652,0.427
218,0.652,0.427
219,0.652,0.427
220,0.652,0.427
221,0.652,0.428
222,0.652,0.428
223,0.652,0.428
224,0.652,0.428
225,0.653,0.428
226,0.653,0.428
227,0.653,0.429
228,0.653,0.429
229,0.653,0.430
230,0.653,0.429
231,0.652,0.430
232,0.653,0.430
233,0.653,0.430
234,0.653,0.430
235,0.653,0.430
236,0.653,0.431
237,0.653,0.431
238,0.653,0.431
239,0.653,0.431
240,0.653,0.431
241,0.653,0.431
242,0.653,0.431
243,0.653,0.431
244,0.652,0.431
245,0.653,0.431
246,0.652,0.431
247,0.652,0.432
248,0.652,0.432
249,0.653,0.432
250,0.653,0.432
251,0.653,0.432
252,0.653,0.432
253,0.654,0.432
254,0.654,0.433
255,0.654,0.434
256,0.654,0.434
257,0.654,0.434
258,0.654,0.434
259,0.654,0.434
260,0.654,0.435
261,0.654,0.435
262,0.654,0.435
263,0.655,0.435
264,0.655,0.434
265,0.655,0.435
266,0.656,0.435
267,0.655,0.435
268,0.655,0.435
269,0.655,0.435
270,0.655,0.435
271,0.655,0.435
272,0.656,0.435
273,0.655,0.436
274,0.655,0.436
275,0.655,0.436
276,0.656,0.436
277,0.656,0.436
278,0.656,0.436
279,0.656,0.436
280,0.657,0.436
281,0.657,0.436
282,0.657,0.436
283,0.657,0.436
284,0.657,0.436
285,0.657,0.437
286,0.657,0.437
287,0.657,0.438
288,0.657,0.438
289,0.657,0.438
290,0.656,0.438
291,0.656,0.439
292,0.657,0.439
293,0.657,0.439
294,0.657,0.439
295,0.657,0.439
296,0.657,0.439
297,0.657,0.439
298,0.657,0.440
299,0.657,0.439
300,0.657,0.440
301,0.658,0.440
302,0.658,0.440
303,0.658,0.440
304,0.658,0.440
305,0.658,0.440
306,0.657,0.439
307,0.657,0.439
308,0.657,0.439
309,0.657,0.439
310,0.657,0.440
311,0.657,0.440
312,0.658,0.440
313,0.658,0.440
314,0.658,0.440
315,0.658,0.440
316,0.658,0.440
317,0.658,0.441
318,0.658,0.440
319,0.659,0.441
320,0.659,0.441
321,0.658,0.441
